Acct,Description,Category
426260,Police Services,Charges for Services
426270,Utility District Application Review,Charges for Services
426280,Legal Fees,Charges for Services
426290,Other Service Charges,Charges for Services
426300,Certified Copies Fees,Charges for Services
426310,City Charter & Code Fees,Charges for Services
426320,City Maps & Related Items,Charges for Services
426330,Miscellaneous Copies Fees,Charges for Services
426340,Public Safety Reports Fees,Charges for Services
426350,Fire Fighting Services,Charges for Services
426360,Reimbursement for 911 Staff,Charges for Services
426370,Training Services,Charges for Services
426380,Grants Contract Services,Charges for Services
426390,Misc. Services to Other Agencies,Charges for Services
426400,Vehicle Storage Unit,Charges for Services
426410,Collection Fees,Charges for Services
426420,Building Space Rental Fees,Charges for Services
426430,Facility Rental Fees,Charges for Services
426440,Park Facility Use Fees,Charges for Services
426450,Park Equipment Rental Fees,Charges for Services
426460,Municipal Services  from the TIRZ,Charges for Services
426470,WIFI Revenues,Charges for Services
426480,Securing/Boarding - Nuisance Abatement,Charges for Services
426485,Visual Blight - Nuisance Abatement,Charges for Services
426490,Alternate Method Review Fee,Charges for Services
426495,Investigation Fee,Charges for Services
426500,Drainage Charge Revenue,Charges for Services
426505,Drainage Charge Adjustment,Charges for Services
426510,Environmental Lab Services,Charges for Services
426520,External Radio System Fees,Charges for Services
426525,Chapter 125 - Nuisance Abatement,Charges for Services
441010,Signatory Landings,Charges for Services
441015,Carrier Incentive Program,Charges for Services
441020,Aviation Fuel Revenue,Charges for Services
441030,Aircraft Parking Revenue,Charges for Services
442010,Concourse Security Services,Charges for Services
442020,Flight Information Display System,Charges for Services
442030,Terminal Space Rental Fees,Charges for Services
442035,Terminal Space Nonair Rental Fees,Charges for Services
442040,Cargo Building Rental Fees,Charges for Services
442050,Hangar Rental Fees,Charges for Services
442060,Grounds Rental Fees,Charges for Services
442070,Other Rental Fees,Charges for Services
443010,Temporary park Concessions,Charges for Services
443020,Terminal Concession Agreements,Charges for Services
443030,Terminal Operation Agreement,Charges for Services
443040,Other Recreational Concessions,Charges for Services
443050,Auto Rental Concessions,Charges for Services
443060,Ground Transport Concessions,Charges for Services
443070,Hotel Concessions,Charges for Services
443080,Special Events Concessions,Charges for Services
443090,Food & Drink Concessions,Charges for Services
443100,Audio Visual Concessions,Charges for Services
443110,Utility Concessions,Charges for Services
443120,Photocopier Concessions,Charges for Services
443130,Pay Phone Concessions,Charges for Services
443140,Telephone Setup Concessions,Charges for Services
443150,Telecommunications Revenue,Charges for Services
443160,Vending Machine Concessions,Charges for Services
443170,Other Concession Income,Charges for Services
443180,Concession Penalty & Interest,Charges for Services
443190,Retail Concessions,Charges for Services
445010,Talp Operation Agreement,Charges for Services
445020,Houston Aquarium Agreement Revenue,Charges for Services
445030,Houston Arena Agreement Revenue,Charges for Services
445040,Cultural/Convention Facility Rental,Charges for Services
445050,Cell Tower Revenue,Charges for Services
447010,Metered Parking Revenue,Charges for Services
447020,Garage Parking Revenue,Charges for Services
447021,Hobby Garage Parking Revenue,Charges for Services
447022,Metro Passes Revenue,Charges for Services
447030,Surface Parking Revenue,Charges for Services
447031,Commerce Surface Lot Revenue,Charges for Services
447032,Bolsover Surface Lot Revenue  ,Charges for Services
447033,Commerce Street Annex Surfact Lot Revenue,Charges for Services
447035,Washington Ave Parking Revenue,Charges for Services
447040,Contract Parking Revenue,Charges for Services
448010,Custom Services Fees,Charges for Services
453010,Retail Water Sales,Charges for Services
453012,Con Treat Wat NonGov,Charges for Services
453013,Ret Wat Bill Adjusts,Charges for Services
453014,Area 1&2GRPFeesNnGv,Charges for Services
453015,Area3 GRP Fees Nngov,Charges for Services
453020,Bulk Water Sales - Treated,Charges for Services
453022,Con Tr Ind WatNonGov,Charges for Services
453030,Bulk Water Sales - Untreated,Charges for Services
453032,ConUntCWAHWY225NnGv,Charges for Services
453033,ConUntLkHousIndNonGv,Charges for Services
453035,ConUntSoCanIndNonGv,Charges for Services
453036,ConUntSoCanAgriNonGv,Charges for Services
453038,ConUntCWABportNonGov,Charges for Services
453039,ConUntCWANWLATNonGv,Charges for Services
453116,In City MUD Water Rebates Government,Charges for Services
453117,Water Conservation Rebate,Charges for Services
453118,Ground Water Certificate Credits,Charges for Services
453120,Con Tr Bulk Wat Gov,Charges for Services
454010,Sewer Service Revenue,Charges for Services
454012,Sewer Bill Adjusts,Charges for Services
454116,In City MUD Sewer Rebates Government,Charges for Services
455010,Sewer Service Penalties,Charges for Services
455020,Water Service Penalties,Charges for Services
455030,Drainage Charge Penalty,Charges for Services
456125,Fire Sprinkler Fees,Charges for Services
456130,Water Meter Rental Fees,Charges for Services
456135,Delinquent Reconnection Fees,Charges for Services
456140,Tap Installation Fees,Charges for Services
456145,Meter Installation Fees,Charges for Services
456150,Engineering Inspection Fees,Charges for Services
456155,Meter Testing Fees,Charges for Services
456160,Transient Meter Relocation Fee,Charges for Services
456165,New Customer Fees,Charges for Services
456170,Account Record Fees,Charges for Services
456175,Disposal Fees,Charges for Services
456176,Recycling Revenues,Charges for Services
456177,Composting Revenue,Charges for Services
456178,Waste Reduction Fees,Charges for Services
456180,Fertilizer Sales,Charges for Services
456185,Contract Revenue from Water Authority,Charges for Services
456190,Aband/Rerouting of Service Lines,Charges for Services
456195,Water Connection Violation,Charges for Services
456205,Failure to Connect Sewer,Charges for Services
456210,Missed Appointment,Charges for Services
456220,Tenant Notice,Charges for Services
456225,Failure to Apply,Charges for Services
456230,Illegal Turn On,Charges for Services
456235,Lock Device Damage/Repair,Charges for Services
456240,Submeter Application,Charges for Services
456245,Evaporation Credit Processing Fee,Charges for Services
456250,Sewage Disposal,Charges for Services
456253,Badging Fees,Charges for Services
456256,NewSrack Permit and Decal Fees,Charges for Services
456260,Oper Recov & Refunds,Charges for Services
456265,Municipal Setting Designation Application,Charges for Services
456515,Defensive Driving Fees,Charges for Services
456520,Housing Code Inspection Fees,Charges for Services
458010,Wastewater Impact Fees,Charges for Services
458020,Water Impact Fees,Charges for Services
457010,Interfund Land Acquisition,Direct Interfund Services
457020,Interfund Communication Equipment Repair,Direct Interfund Services
457030,Interfund Billing & Collection Service,Direct Interfund Services
457040,Interfund Fleet Maintenance,Direct Interfund Services
457050,Interfund Utility Services,Direct Interfund Services
457060,Interfund Electricity,Direct Interfund Services
457070,Interfund Temporary Personnel,Direct Interfund Services
457080,Interfund Employee Training Materials,Direct Interfund Services
451010,Interfund Billing-Workers' Comp Admin,Direct Interfund Services
451015,Interfund Billing-Workers' Comp Claims,Direct Interfund Services
451020,Interfund Billing-Telephone,Direct Interfund Services
451030,Interfund Natural Gas,Direct Interfund Services
451040,Interfund Postage,Direct Interfund Services
451050,Interfund Lab Services,Direct Interfund Services
451060,Interfund Print Shop Operations,Direct Interfund Services
424010,Interfund Electrical Maintenance,Direct Interfund Services
424020,Interfund Engineering Services,Direct Interfund Services
424030,Intfd Computer Dev,Direct Interfund Services
424040,Interfund 311,Direct Interfund Services
424050,Interfund Fire Protection Services,Direct Interfund Services
424060,Interfund Airport Police Services,Direct Interfund Services
424070,Interfund Legal Services,Direct Interfund Services
424080,Interfund Payroll Services,Direct Interfund Services
424100,Intfd IT Network Svc,Direct Interfund Services
424110,Other Interfund Services,Direct Interfund Services
424120,Interfund Vehicle Fuel,Direct Interfund Services
424130,Interfund Vehicle Repair,Direct Interfund Services
424140,Interfund Inventory,Direct Interfund Services
424150,Interfund Auditing Services-601,Direct Interfund Services
424160,Interfund Affirmative Action Services,Direct Interfund Services
429010,Interfund Billing - Long Term Disability,Direct Interfund Services
416010,Electricity Franchise Tax,Electric Franchise
416020,Miscellaneous Franchise Fee,Electric Franchise
418010,Natural Gas Franchise Tax,Gas Franchise
419100,Natural Gas Franchise Fees-Prior Year,Gas Franchise
411010,Incremental Property Tax,General Property Taxes
411020,Current Property Tax,General Property Taxes
411030,Current Year Delinquent Property Tax,General Property Taxes
411040,Delinquent Property Tax - Prior Years,General Property Taxes
411050,Prior Year Delinquent Property Tax-1992,General Property Taxes
411060,Prior Year Delinquent Property Tax-1993,General Property Taxes
411070,Prior Year Delinquent Property Tax-1994,General Property Taxes
411080,Prior Year Delinquent Property Tax-1995,General Property Taxes
411090,Prior Year Delinquent Property Tax-1996,General Property Taxes
411100,Prior Year Delinquent Property Tax-1997,General Property Taxes
411110,Prior Year Delinquent Property Tax-1998,General Property Taxes
411120,Prior Year Delinquent Property Tax-1999,General Property Taxes
411130,Prior Year Delinquent Property Tax-2000,General Property Taxes
411140,Prior Year Delinquent Property Tax-2001,General Property Taxes
411150,Prior Year Delinquent Property Tax-2002,General Property Taxes
411160,Prior Year Delinquent Property Tax-2003,General Property Taxes
411170,Prior Year Delinquent Property Tax-2004,General Property Taxes
411171,Prior Year Delinquent Property Tax-2005,General Property Taxes
411172,Prior Year Delinquent Property Tax-2006,General Property Taxes
411173,Prior Year Delinquent Property Tax-2007,General Property Taxes
411174,Prior Year Delinquent Property Tax-2008,General Property Taxes
411175,Prior Year Delinquent Property Tax-2009,General Property Taxes
411176,Prior Year Delinquent Property Tax-2010,General Property Taxes
411177,Prior Year Delinquent Property Tax-2011,General Property Taxes
411178,Prior Year Delinquent Property Tax-2012,General Property Taxes
411180,Current Delinquent - P & I,General Property Taxes
411190,Penalty&Interest-Delinq. Property Tax,General Property Taxes
411200,Property Tax Refunds,General Property Taxes
411210,Property Tax Rebates,General Property Taxes
411220,Unclaimed Refunds of Property Tax,General Property Taxes
425010,Indirect Cost Recovery-Aviation,Indirect Interfund Services
425020,Indirect Cost Recovery - Civic Center,Indirect Interfund Services
425030,Indirect Cost-CUS Fund,Indirect Interfund Services
425040,Indirect Cost-Houston Area Lib Auto NetWork,Indirect Interfund Services
425050,Indirect Cost Recovery-Auto Dealers,Indirect Interfund Services
425060,Indirect Cost Recover -Public TV,Indirect Interfund Services
425070,Indirect Cost-Building  Inspection,Indirect Interfund Services
425080,Indirect Cost Recovery-Street & Drainage,Indirect Interfund Services
425090,Indirect Cost Recovery-911 Emergency,Indirect Interfund Services
425100,Indirect Cost Recovery-Other,Indirect Interfund Services
425110,Indirect Cost Recovery-Grants,Indirect Interfund Services
425120,PWE Allocated Cost Recovery,Indirect Interfund Services
451070,Indirect Cost Recovery Metro,Indirect Interfund Services
415010,Industrial District Assessment,Industrial Assessment
422170,Interest/Affordable Housing Repayment,Interest
422180,Interest - Special Development Projects,Interest
422190,Interest -Microloans,Interest
422200,Interest Payment SBL Loans,Interest
422210,Int-Pymt HHIP Loans,Interest
422220,Interest/Rental Rehab Repayment,Interest
432010,Interest on Pooled Investments,Interest
432015,Gain or Loss-Investment Market Adjust.,Interest
432020,Interest Apportionment Transfer In,Interest
433010,Houston Passenger Facility Charges,Interest
434130,Gain/Loss on Investment Sale,Interest
434140,Swap Interest Payment,Interest
429095,Medicare Part D Distribution,Intergovernmental
429100,PPO Medical Plan - Stop Loss Reimburseme,Intergovernmental
429110,Active Employee Health Surcharge,Intergovernmental
431010,Petroleum Storage Tank Reimbursement,Intergovernmental
423010,Other Grant Awards,Intergovernmental
422010,Medicaid Title XIX,Intergovernmental
422020,Medicaid Title XX,Intergovernmental
422025,Family Planning Fee for Service,Intergovernmental
422030,Department of Transportation Grants,Intergovernmental
422040,Federal Emergency Mgmt Agency Grants,Intergovernmental
422050,USDA Grants,Intergovernmental
422060,Department of Commerce Grants,Intergovernmental
422070,Environmental Protection Agency GRANTS,Intergovernmental
422080,US HHS Grants,Intergovernmental
422090,HUD Grants,Intergovernmental
422100,Department of Justice Grants,Intergovernmental
422110,Criminal Justice Division Grant Awards,Intergovernmental
422120,Parks & Wildlife Grant Awards,Intergovernmental
422122,Municipal Service Fees - TIRZ,Intergovernmental
422130,Unearned Grant Revenue,Intergovernmental
422140,Metro Grant Awards,Intergovernmental
422141,Intergovernmental Revenue - TIRZ,Intergovernmental
422150,Intergovernmental Revenue - Metro,Intergovernmental
422153,Intergovernmental Revenue - 1115 Waiver,Intergovernmental
422155,Intergovernmental Revenue - Other,Intergovernmental
422160,Billings to Grants,Intergovernmental
421350,Site Inspection Fees,Licenses and Permits
421360,Electrical Shop Fees,Licenses and Permits
421370,Sign Operation Fees,Licenses and Permits
421371,Sign Op Fee-Off Perm,Licenses and Permits
421372,Sign Op Fee-Off Perm,Licenses and Permits
421373,Sign Operation Fees-New Operating-City,Licenses and Permits
421374,Sign Op Fee-On Perm,Licenses and Permits
421380,Sign Contractor Licenses,Licenses and Permits
421400,Miscellaneous Sign Fees,Licenses and Permits
421410,Permit Preparation Fees,Licenses and Permits
421420,A/C Boiler Cons Prmt,Licenses and Permits
421440,Elevator Permits,Licenses and Permits
421450,House Moving Permits,Licenses and Permits
421460,Mobile Home Permits,Licenses and Permits
421480,Reinspections Fees,Licenses and Permits
421490,Plan Review Fees,Licenses and Permits
421491,Plan Review - Per Sheet Fee,Licenses and Permits
421500,Electrical Permits,Licenses and Permits
421510,Plumbing Permits,Licenses and Permits
421530,Special Event Permits,Licenses and Permits
421540,Closed Use Permits,Licenses and Permits
421550,Street Cut Permit,Licenses and Permits
421560,Flood Plain Dev Prmt,Licenses and Permits
421570,Limousine Permits,Licenses and Permits
421580,Charter Bus Permits,Licenses and Permits
421590,Right-of-way Permits,Licenses and Permits
421600,Jitney Permit & Inspection Fees,Licenses and Permits
421610,Low Speed Shuttle Permit/Inspection Fees,Licenses and Permits
421620,Pedicab Permits & Inspection Fees,Licenses and Permits
421630,Administrative Fee - Licenses & Permits,Licenses and Permits
421640,LED Changeable Message Sign,Licenses and Permits
421700,Multi-Family Rental Building Inspections,Licenses and Permits
419080,Encroachment Franchise Fee,Licenses and Permits
419060,Pipeline & Conduits Franchise Fee,Licenses and Permits
419020,Limousine Franchise Tax,Licenses and Permits
421010,Special Food Permits,Licenses and Permits
421020,Food Dealers Permits,Licenses and Permits
421030,Food Managers Permits,Licenses and Permits
421040,Mobile Food Vendor Licenses,Licenses and Permits
421050,Liquid Waste Transport Permits,Licenses and Permits
421060,Miscellaneous Health Permits,Licenses and Permits
421070,Swimming Pool Operating Permits,Licenses and Permits
421080,Rabies Control Licenses,Licenses and Permits
421090,Ambulance Permits,Licenses and Permits
421100,Occupation Licenses,Licenses and Permits
421110,Sexually Oriented Business Permits,Licenses and Permits
421120,Beer & Wine Licenses,Licenses and Permits
421130,Decals for Coin-Ope.Amusement Machines,Licenses and Permits
421140,Dance Licenses,Licenses and Permits
421150,Liquor Licenses,Licenses and Permits
421160,Mixed Beverage Licenses,Licenses and Permits
421161,Auto Dealers Licenses,Licenses and Permits
421162,Electric Signs Fee,Licenses and Permits
421170,Burglar Alarm Permits,Licenses and Permits
421180,Special Fire Permits,Licenses and Permits
421190,Construction Permits,Licenses and Permits
421200,Other Building & Construction Permits,Licenses and Permits
421210,Fire Alarm Permits,Licenses and Permits
421220,School Bus Licenses & Permits,Licenses and Permits
421230,Taxicab Licenses & Permits,Licenses and Permits
421240,Wrecker Licenses & Permits,Licenses and Permits
421250,Valet Parking Operator Permits,Licenses and Permits
421260,Bicycle Registration,Licenses and Permits
421270,City Election Fees,Licenses and Permits
421280,Other Licenses & Permits,Licenses and Permits
421290,Tower Application Review Fee,Licenses and Permits
421300,Facility Permits,Licenses and Permits
421310,Mobility Permits,Licenses and Permits
421320,Dumpster Permits,Licenses and Permits
456105,Oil and Gas Well Permits,Licenses and Permits
456110,Stormwater Quality Mgmt Permits,Licenses and Permits
456115,Industrial Waste Discharge Permits,Licenses and Permits
456120,Development Permits,Licenses and Permits
456255,Misc Operating Revenue,Miscellaneous/Other
434250,Sale of Capital Assets-Intergovernmental,Miscellaneous/Other
434255,Sale of Recyclable Materials,Miscellaneous/Other
434305,Judgments & Claims,Miscellaneous/Other
434310,Overpayments - Grieve Intl,Miscellaneous/Other
434315,Reimbursement of Court Costs,Miscellaneous/Other
434320,Oil & Gas Royalties,Miscellaneous/Other
434325,Recapture of Home Loan Revenue,Miscellaneous/Other
434330,Subrogations,Miscellaneous/Other
434335,Recover Damage-Infrastructure,Miscellaneous/Other
434340,Cashier Overages,Miscellaneous/Other
434345,Adjustment to Allowances,Miscellaneous/Other
434350,Miscellaneous Services Palm Center,Miscellaneous/Other
434355,Pay or Play Revenue,Miscellaneous/Other
434405,Principal Payment SBL Loans,Miscellaneous/Other
434410,Principal Payment HHIP Loans,Miscellaneous/Other
434415,Principal Payment Top Loans,Miscellaneous/Other
434420,Prin Pymt-Rent Rehab,Miscellaneous/Other
434425,Principal Affordable Housing Payment,Miscellaneous/Other
434430,Principal Special Development Projects,Miscellaneous/Other
434434,Principal Microloans,Miscellaneous/Other
434505,Prior Year Expenditure Recovery,Miscellaneous/Other
434510,Prior Year Revenue,Miscellaneous/Other
434515,Street Milling Sale Earnings,Miscellaneous/Other
434120,Other Fees SBRL,Miscellaneous/Other
435110,Public Improvement District Assessment,Miscellaneous/Other
435510,Confiscations,Miscellaneous/Other
456505,Fixed Assets Gain/Loss Account,Miscellaneous/Other
456510,Sale of Inventory,Miscellaneous/Other
451080,Interfund Billing Fleet,Miscellaneous/Other
451090,Interfund Billing Information Technology,Miscellaneous/Other
452010,Release of Special Deposits,Miscellaneous/Other
452020,Recoveries & Refunds,Miscellaneous/Other
452030,Miscellaneous Revenue,Miscellaneous/Other
457090,ENT-Geographic Information System,Miscellaneous/Other
456525,General Obligation Bond Proceeds,Miscellaneous/Other
456530,Revenue Bond Proceeds,Miscellaneous/Other
456535,Tax Increment Bond Proceeds,Miscellaneous/Other
456540,Proceeds of Certificate of Obligation,Miscellaneous/Other
456545,Proceeds of Commercial Paper,Miscellaneous/Other
456550,Proceeds from TWD Board Loan,Miscellaneous/Other
458030,Impact Fee Transfer,Miscellaneous/Other
459010,Arbitrage Rebate Recoveries,Miscellaneous/Other
462999,Gain-SoA-Rev. Clrng ,Miscellaneous/Other
451000,Escrow Deposit-Bond refunding,Miscellaneous/Other
431020,Contributions from Others,Miscellaneous/Other
431030,Donated/Seized Asset Additions,Miscellaneous/Other
434150,Streets & Bridges Assessments,Miscellaneous/Other
434160,Fixed Asset Adjustments ,Miscellaneous/Other
434205,Sale of Scrap Metal,Miscellaneous/Other
434210,Sale of Scrap Oil & Tires,Miscellaneous/Other
434215,Sale of Non-Capital Rolling Stock,Miscellaneous/Other
434220,Sale of Impounded Vehicles,Miscellaneous/Other
434225,Sale of Non-Capital Equip. & Merchandise,Miscellaneous/Other
434230,Animal Adoption,Miscellaneous/Other
429020,Active Employees-City Insurance Contrib.,Miscellaneous/Other
429030,Retirees - City Insurance Contribution,Miscellaneous/Other
429040,Active Employees-Insurance Contribution,Miscellaneous/Other
429050,Active Employees Dependent Care,Miscellaneous/Other
429055,Active Employees-Health Flex Account,Miscellaneous/Other
429060,Active Employees-LWOP Contribution,Miscellaneous/Other
429070,Cobra Contributions,Miscellaneous/Other
429080,Retirees Insurance Contribution,Miscellaneous/Other
429090,Medical Part D Subsidy,Miscellaneous/Other
444010,Private Contributions,Miscellaneous/Other
444020,PEG Contributions - Ongoing Support,Miscellaneous/Other
444030,PEG Contributions - State Franchises,Miscellaneous/Other
427010,Moving Violations,Municipal Courts Fines and Forfeits
427020,Parking Violations,Municipal Courts Fines and Forfeits
427030,MCTP Monthly Time Payment ,Municipal Courts Fines and Forfeits
427040,Non-Traffic Fines,Municipal Courts Fines and Forfeits
427050,Failure to Appear Fines,Municipal Courts Fines and Forfeits
427060,Scire Facias Forfeitures,Municipal Courts Fines and Forfeits
427070,Bond Handling Fees,Municipal Courts Fines and Forfeits
427080,Municipal Courts Technology,Municipal Courts Fines and Forfeits
427090,Residential Parking Permit,Municipal Courts Fines and Forfeits
427100,Local Court Costs,Municipal Courts Fines and Forfeits
427110,Driver Safety Administration Fees,Municipal Courts Fines and Forfeits
427120,Cash Bond Forfeiture Fees,Municipal Courts Fines and Forfeits
427130,Local Arrest Fees,Municipal Courts Fines and Forfeits
427140,State Arrest Fees,Municipal Courts Fines and Forfeits
427150,Towing Hearing Filing Fee,Municipal Courts Fines and Forfeits
427160,Warrant Fees,Municipal Courts Fines and Forfeits
427170,HPD Overtime Fee,Municipal Courts Fines and Forfeits
427180,Capias Pro Fine,Municipal Courts Fines and Forfeits
427190,Empanel Fee,Municipal Courts Fines and Forfeits
427200,Unclaimed Fines & Forfeitures,Municipal Courts Fines and Forfeits
427210,Court Costs/Jury Costs,Municipal Courts Fines and Forfeits
427220,Suspended Sentence Fees,Municipal Courts Fines and Forfeits
427230,Boot Fees,Municipal Courts Fines and Forfeits
427240,Administrative Boot Fees,Municipal Courts Fines and Forfeits
427250,Registration Denial Fee,Municipal Courts Fines and Forfeits
427260,Dismissal Fees,Municipal Courts Fines and Forfeits
427270,Juvenile Case Manager Revenue,Municipal Courts Fines and Forfeits
427280,In-House Collection Fee,Municipal Courts Fines and Forfeits
428010,Deposit Forfeitures,Other Fines and Forfeits
428020,Library Fines,Other Fines and Forfeits
428030,Release of Liens,Other Fines and Forfeits
428040,Vehicle Tow-Away Fees,Other Fines and Forfeits
428050,False Alarm Penalties,Other Fines and Forfeits
428060,Other Interest Income,Other Fines and Forfeits
428070,Penalties on Development Loans,Other Fines and Forfeits
428080,Returned Check Charges,Other Fines and Forfeits
428090,Miscellaneous Fines & Forfeitures,Other Fines and Forfeits
428095,Red Light Enforcement,Other Fines and Forfeits
428097,Sexual Asault Forensic Evaluation Fee,Other Fines and Forfeits
428100,Interest on Liens-COH,Other Fines and Forfeits
428105,Interest on Liens-Contract,Other Fines and Forfeits
434110,Other Fees HHIP Loans,Other Fines and Forfeits
421330,Impounded Sign Fees,Other Franchise
421340,Sign Construction Fees,Other Franchise
419030,Charter Tours & Sight Franchise Tax,Other Franchise
419040,Solid Waste Hauler Franichise Fee,Other Franchise
419050,Spur Track Franchise Fee,Other Franchise
419070,Fiber Optics Franchise Fee,Other Franchise
419010,Cable TV Franchise Tax,Other Franchise
419110,Cable TV Franchise Fees-Prior Year,Other Franchise
419120,Solid Waste Franchise Fees-Prior Year,Other Franchise
421520,Heliport/Helistop Inspection Fees,Other Franchise
421470,Occupancy Fees,Other Franchise
421430,Annual Boiler Fees,Other Franchise
421390,Sign Plan Examination Fees,Other Franchise
434235,Sale of Capital Assets,Other Resources
434240,Sale of Capital Assets-Land/Streets,Other Resources
434245,Sale of Capital Assets - Vehicles,Other Resources
490010,Transfer from General Fund,Other Resources
490020,Transfer from Special Revenue Fund,Other Resources
490030,Transfer from Debt Service Fund,Other Resources
490040,Transfer from Water & Sewer Fund,Other Resources
490050,Transfer from Aviation Fund,Other Resources
490060,Transfer from Civic Center,Other Resources
490070,Transfer from Capital Project Fund,Other Resources
490080,Other Operating Transfers In,Other Resources
490090,Transfer from Combined Utility Operating,Other Resources
490100,Transfer from Combined Utility General,Other Resources
490110,Transfer from Grant,Other Resources
490120,Transfer from Component Unit,Other Resources
490130,Transfer from Consolidating Funds,Other Resources
490140,Transfer from Parking Management,Other Resources
490150,Transfer from internal Service Fund,Other Resources
490160,Transer from Rainy Day fund - Hurr Ike,Other Resources
456555,Proceeds from Promissory Notes,Other Resources
456560,Liquidated Damages,Other Resources
434520,Pension Obligation Bond Proceeds,Other Resources
449110,Hotel Occupancy Tax,Other Tax 
449510,Delinquent Hotel Occupancy Tax,Other Tax 
413010,Mixed Beverage Tax,Other Tax 
414010,Bingo Tax,Other Tax 
412010,Sales Tax,Sales Taxes
417010,Telephone Franchise Tax,Telephone Franchise
419090,Telecomm Franchise Fees - Prior Year,Telephone Franchise
